Sector,Year,Name,Jammu and Kashmir,Himachal Pradesh,Punjab,Chandigarh,Uttaranchal,Haryana,Delhi,Rajasthan,Uttar Pradesh,Bihar,Sikkim,Arunachal Pradesh,Nagaland,Manipur,Mizoram,Tripura,Meghalaya,Assam,West Bengal,Jharkhand,Orissa,Chattisgarh,Madhya Pradesh,Gujarat,Daman and Diu,Dadra and Nagar Haveli,Maharashtra,Andhra Pradesh,Karnataka,Goa,Lakshwadeep,Kerala,Tamil Nadu,Pondicherry,Andaman and Nicobar,Telangana
Urban,2011,January,104.0,104.0,104.0,104.0,103.0,104.0,104.0,104.0,104.0,104.0,103.0,,103.0,104.0,104.0,105.0,104.0,104.0,104.0,105.0,105.0,105.0,104.0,104.0,103.0,104.0,104.0,104.0,104.0,103.0,103.0,107.0,105.0,106.0,105.0,
Urban,2011,February,104.0,103.0,103.0,103.0,103.0,104.0,103.0,103.0,103.0,104.0,102.0,,103.0,104.0,104.0,105.0,104.0,103.0,104.0,104.0,105.0,104.0,103.0,104.0,103.0,104.0,103.0,103.0,104.0,103.0,102.0,107.0,104.0,105.0,105.0,
Urban,2011,March,104.0,103.0,104.0,103.0,103.0,104.0,103.0,103.0,104.0,104.0,103.0,,103.0,104.0,104.0,105.0,104.0,104.0,104.0,105.0,105.0,104.0,104.0,104.0,104.0,104.0,104.0,103.0,104.0,103.0,104.0,107.0,104.0,104.0,106.0,
Urban,2011,April,105.5,104.3,104.5,103.9,103.9,105.0,104.0,103.8,104.5,104.1,103.4,,102.9,103.8,105.8,105.0,104.8,103.8,104.8,104.9,105.0,103.9,104.1,105.4,104.1,105.8,104.7,103.1,104.8,103.9,108.6,107.1,103.9,104.7,106.8,
Urban,2011,May,105.8,104.8,105.3,104.6,105.3,105.5,104.1,104.5,104.9,104.6,103.7,,103.8,104.1,107.3,105.3,105.6,104.6,105.2,105.1,105.8,104.3,104.8,106.0,105.5,106.2,105.2,103.6,105.4,104.3,110.9,107.9,104.6,105.2,107.9,
Urban,2011,June,109.0,107.3,107.4,107.6,107.1,107.5,106.0,106.3,106.8,107.4,106.7,,105.6,106.0,109.4,107.2,107.1,106.9,107.0,107.2,108.8,107.1,106.6,108.1,107.1,106.9,107.3,106.0,109.0,106.9,112.1,110.6,106.9,107.5,109.3,
Urban,2011,July,110.3,108.4,109.1,109.4,108.7,109.2,107.5,108.2,108.9,110.0,109.4,,106.5,107.3,111.2,108.2,108.7,109.0,108.6,110.2,110.1,109.0,108.3,110.0,108.6,108.2,108.8,107.8,110.5,107.4,113.2,111.2,107.9,108.6,111.2,
Urban,2011,August,111.1,108.7,109.5,110.2,109.7,109.5,108.6,109.3,110.1,110.8,111.0,,107.8,109.6,111.6,108.9,109.5,110.0,109.6,111.1,110.9,109.9,109.4,111.4,109.5,109.1,109.5,109.0,111.3,108.1,116.3,113.1,109.0,109.3,113.3,
Urban,2011,September,112.4,110.0,110.5,111.4,110.5,110.0,112.3,109.9,110.9,111.5,112.4,,108.9,112.0,113.1,109.5,110.2,111.1,109.9,112.1,112.3,111.2,110.6,112.9,110.4,110.3,110.9,110.0,112.3,110.0,117.5,114.4,110.1,111.2,115.3,
Urban,2011,October,113.0,111.1,111.7,112.7,111.5,111.1,113.2,111.4,111.8,112.6,113.5,,109.7,113.9,113.9,110.8,110.7,112.3,110.4,113.6,113.6,112.5,111.2,113.0,110.6,111.8,111.6,111.3,113.5,110.9,114.5,114.7,111.5,111.9,115.9,
Urban,2011,November,113.1,111.8,111.4,113.9,111.5,110.9,113.2,111.8,112.1,112.3,113.6,,110.0,113.3,114.6,111.6,111.0,112.3,110.0,113.4,113.8,113.2,111.9,113.2,111.0,112.4,112.3,112.2,114.4,111.5,115.1,116.0,113.0,112.9,115.9,
Urban,2011,December,113.0,112.2,111.7,113.5,110.7,111.2,112.6,111.3,111.3,112.4,113.2,,110.6,112.6,115.2,110.8,110.7,112.2,109.8,112.1,112.9,112.4,111.8,112.9,111.7,111.6,112.1,111.9,115.0,111.7,114.7,116.1,114.3,113.2,115.4,
Urban,2012,January,114.0,112.9,112.2,114.3,111.1,111.6,113.1,112.0,111.8,112.7,112.6,,110.8,112.4,116.0,111.7,111.2,112.4,111.0,111.9,113.1,112.4,111.9,113.4,113.0,112.9,112.3,112.6,115.7,112.2,114.7,116.3,114.8,114.6,116.5,
Urban,2012,February,114.1,113.2,112.9,114.8,112.0,112.1,113.4,112.7,112.6,112.9,113.4,,111.4,112.1,116.7,112.7,111.0,113.0,112.4,113.0,114.0,112.7,112.4,114.3,113.4,113.9,112.8,113.3,116.5,112.6,115.2,116.6,115.4,115.3,116.0,
Urban,2012,March,115.1,114.0,114.0,116.1,113.0,113.2,114.9,114.2,114.2,113.9,115.4,,111.8,112.3,117.0,114.2,112.2,113.9,113.3,113.5,114.9,112.9,113.3,115.8,114.3,115.4,113.9,114.5,117.1,113.3,116.4,116.9,116.2,116.3,116.6,
Urban,2012,April,116.8,116.1,115.4,117.1,114.6,115.0,116.2,115.7,115.7,115.2,117.3,,112.3,112.6,119.2,115.3,113.1,115.1,115.2,115.1,116.3,114.1,114.3,117.4,115.5,117.2,115.1,116.0,118.4,113.1,118.0,118.4,118.1,116.7,118.0,
Urban,2012,May,117.0,116.9,115.9,119.0,115.5,115.4,117.3,116.0,116.8,116.4,119.0,,113.9,113.3,119.9,116.3,114.7,116.2,116.5,116.3,118.5,115.8,115.2,118.6,115.9,118.6,116.4,116.8,119.1,113.7,118.6,119.5,119.3,117.4,119.8,
Urban,2012,June,117.9,118.5,117.0,120.6,116.8,116.9,118.6,117.1,118.1,118.5,120.1,,114.5,114.4,120.8,116.9,115.5,117.3,118.6,119.0,120.7,116.9,116.9,119.3,116.8,118.6,117.3,118.9,120.5,114.5,121.4,120.3,121.2,118.8,121.5,
