Sector,Year,Name,Jammu and Kashmir,Himachal Pradesh,Punjab,Chandigarh,Uttaranchal,Haryana,Delhi,Rajasthan,Uttar Pradesh,Bihar,Sikkim,Arunachal Pradesh,Nagaland,Manipur,Mizoram,Tripura,Meghalaya,Assam,West Bengal,Jharkhand,Orissa,Chattisgarh,Madhya Pradesh,Gujarat,Daman and Diu,Dadra and Nagar Haveli,Maharashtra,Andhra Pradesh,Karnataka,Goa,Lakshwadeep,Kerala,Tamil Nadu,Pondicherry,Andaman and Nicobar,Telangana
Rural+Urban,2011,January,105.0,105.0,105.0,104.0,104.0,106.0,104.0,105.0,105.0,105.0,104.0,108.0,103.0,103.0,106.0,107.0,108.0,105.0,107.0,107.0,108.0,107.0,105.0,106.0,104.0,107.0,105.0,107.0,106.0,105.0,104.0,108.0,107.0,107.0,105.0,
Rural+Urban,2011,February,105.0,104.0,104.0,103.0,104.0,106.0,103.0,105.0,105.0,105.0,104.0,108.0,103.0,103.0,106.0,107.0,106.0,105.0,107.0,106.0,106.0,105.0,105.0,105.0,104.0,106.0,105.0,105.0,106.0,104.0,103.0,108.0,106.0,106.0,104.0,
Rural+Urban,2011,March,106.0,104.0,104.0,103.0,103.0,106.0,103.0,105.0,106.0,105.0,103.0,108.0,103.0,103.0,107.0,107.0,111.0,106.0,107.0,106.0,106.0,105.0,106.0,106.0,104.0,105.0,105.0,105.0,106.0,104.0,104.0,108.0,105.0,105.0,104.0,
Rural+Urban,2011,April,106.6,105.0,104.9,103.9,104.2,107.3,104.0,105.1,106.2,105.4,103.9,108.9,103.4,102.7,108.3,107.8,111.1,107.1,107.7,106.8,106.8,105.4,106.1,107.1,104.7,105.8,106.0,104.9,107.0,105.4,107.1,108.8,105.5,105.5,105.1,
Rural+Urban,2011,May,107.76,105.54,105.56,104.59,105.04,107.83,104.07,105.96,107.16,106.68,104.43,111.6,104.1,102.68,109.39,107.41,111.12,108.58,108.76,106.96,107.97,106.04,107.0,108.22,105.82,106.93,106.89,105.88,107.52,105.65,108.57,109.79,106.47,105.73,106.11,
Rural+Urban,2011,June,108.9,107.1,106.9,107.4,106.2,109.5,105.9,107.3,108.6,108.1,106.8,110.9,105.5,103.4,111.0,109.1,111.9,110.6,110.6,108.4,109.6,107.2,108.3,110.0,106.6,107.7,108.5,107.6,110.0,107.9,109.1,111.5,108.5,107.6,108.1,
Rural+Urban,2011,July,109.9,107.9,108.7,109.2,108.4,110.7,107.5,109.3,110.6,110.6,108.7,112.9,106.3,103.8,111.2,110.4,115.9,111.7,112.4,111.1,111.7,110.3,109.9,111.9,108.0,108.3,110.0,109.6,111.6,109.2,111.5,112.1,109.4,109.1,109.5,
Rural+Urban,2011,August,111.4,109.1,109.4,110.1,110.0,111.4,108.6,110.2,111.9,112.4,109.8,114.3,107.9,107.4,111.1,110.8,117.8,113.4,114.5,112.4,112.3,111.0,111.3,113.3,109.4,109.6,110.7,110.9,112.6,109.5,115.2,114.3,110.4,109.6,111.2,
Rural+Urban,2011,September,112.7,110.0,110.2,111.3,111.3,112.5,112.2,111.2,113.0,113.1,110.0,116.3,108.8,109.4,111.5,111.5,119.9,113.8,115.2,113.4,114.1,112.9,112.9,114.9,111.5,109.0,112.1,112.0,113.8,111.4,116.5,115.7,111.5,111.3,110.9,
Rural+Urban,2011,October,113.4,111.3,111.5,112.6,113.0,113.1,113.1,112.2,113.9,113.8,110.4,117.1,109.4,111.1,112.0,114.3,123.8,115.5,115.4,114.4,114.9,113.4,114.1,115.3,111.6,109.7,113.0,113.0,114.8,112.0,115.4,115.6,112.8,112.2,111.9,
Rural+Urban,2011,November,114.7,111.5,111.6,113.8,113.9,113.8,113.1,113.2,113.3,113.8,110.5,117.1,109.8,111.6,113.9,114.0,123.2,115.9,115.0,114.2,114.5,114.3,114.6,115.2,110.7,111.4,113.5,114.0,115.7,112.2,115.6,116.6,114.1,113.3,112.7,
